Word frequencies in bible.txt
word     frequency
bethuel     10
rebekah     28
concubine     22
reumah     1
tebah     1
gaham     1
thahash     1
maachah     18
kirjatharba     6
mourn     45
weep     49
sojourner     8
buryingplace     7
bury     36
prince     102
choice     19
sepulchres     14
none     347
withhold     9
sepulchre     49
communed     17
mind     95
intreat     15
ephron     13
zohar     4
machpelah     6
much     282
worth     9
hittite     26
audience     12
shekels     95
weighed     17
named     56
current     1
merchant     12
borders     40
about     615
sure     41
eldest     13
ruled     13
thigh     21
willing     32
follow     85
beware     27
send     224
clear     15
oath     58
master     137
matter     80
mesopotamia     7
kneel     2
draw     76
speed     11
damsel     40
pitcher     12
thereby     21
speaking     62
virgin     32
giving     29
drinking     21
emptied     8
trough     1
wondering     3
held     51
wit     20
journey     58
prosperous     8
golden     65
earring     5
half     136
shekel     37
weight     57
bracelets     10
room     30
lodge     27
moreover     166
straw     16
provender     7
enough     32
worshipped     67
destitute     8
truth     232
led     67
masters     40
mothers     70
laban     51
sisters     26
words     529
standest     6
prepared     100
ungirded     1
mens     22
errand     2
prosper     49
cometh     273
asked     117
kindly     9
proceedeth     11
bad     18
bowing     4
jewels     25
raiment     55
precious     72
tarried     31
few     64
least     38
hinder     16
prospered     12
enquire     42
nurse     9
thousands     62
millions     1
hate     87
damsels     11
rode     13
followed     102
lahairoi     2
meditate     14
eventide     5
coming     97
lighted     11
camel     9
walketh     41
vail     38
sarahs     3
loved     98
comforted     36
keturah     4
zimran     2
jokshan     4
medan     2
midian     39
ishbak     2
shuah     5
asshurim     1
letushim     1
leummim     1
ephah     39
epher     4
hanoch     5
abidah     1
eldaah     2
concubines     17
gifts     53
threescore     92
ghost     109
purchased     9
nebajoth     3
kedar     12
adbeel     2
mibsam     3
mishma     4
dumah     4
massa     2
hadar     2
tema     5
jetur     3
naphish     2
kedemah     2
towns     45
castles     6
syrian     10
padanaram     10
intreated     18
struggled     1
womb     71
stronger     21
fulfilled     82
twins     6
red     52
hairy     4
esau     88
esaus     12
jacob     356
boys     2
cunning     33
venison     8
sod     2
pottage     4
faint     41
feed     81
edom     77
sell     34
birthright     10
point     9
profit     45
sold     78
lentiles     4
beside     129
perform     40
kept     171
charge     101
commandments     166
statutes     125
laws     20
long     212
sporting     2
how     528
lightly     7
lien     3
guiltiness     1
charged     49
toucheth     40
sowed     10
received     159
hundredfold     7
forward     44
store     24
envied     6
wells     15
mightier     13
isaacs     4
springing     5
ours     12
esek     1
strove     13
sitnah     1
ahuzzath     1
friends     49
army     79
touched     48
betimes     5
shebah     1
judith     1
beeri     2
bashemath     6
elon     7
grief     26
dim     9
weapons     19
quiver     7
savoury     6
love     310
hunt     12
obey     69
kids     8
goats     97
loveth     65
smooth     6
feel     7
seem     22
deceiver     5
goodly     33
neck     61
badest     1
sit     108
felt     5
jacobs     19
discerned     4
kiss     20
kissed     26
smell     20
dew     37
fatness     17
plenty     13
corn     99
blesseth     8
scarce     3
gone     204
hunting     2
trembled     21
cried     190
bitter     37
subtilty     5
rightly     4
supplanted     1
times     138
reserved     16
sustained     3
yoke     59
hated     60
wherewith     106
mourning     51
touching     29
purposing     1
fury     70
anger     225
forget     53
deprived     3
weary     42
daughers     2
pleased     62
mahalath     2
certain     194
stones     176
pillows     4
dreamed     20
ladder     1
reached     8
ascending     5
descending     8
whereon     27
liest     5
north     131
places     188
awaked     7
dreadful     9
poured     79
oil     195
luz     8
vowed     18
vow     41
lying     57
rolled     12
rachel     42
roll     28
rebekahs     2
tidings     45
embraced     5
abode     68
space     27
nought     36
wages     18
leah     29
eyed     2
beautiful     23
favoured     14
better     116
zilpah     7
fulfil     24
week     13
service     132
bilhah     11
reuben     74
simeon     50
levi     72
praise     246
judah     717
else     48
kindled     62
knees     28
judged     62
rachels     5
wrestlings     1
wrestled     3
naphtali     49
leahs     5
troop     13
gad     72
happy     28
asher     43
wheat     51
mandrakes     6
wouldest     35
hired     33
hire     23
maiden     8
issachar     44
endued     5
dowry     4
zebulun     45
afterwards     13
dinah     7
reproach     86
joseph     228
add     32
knowest     86
learned     22
experience     4
appoint     41
hadst     20
since     68
removing     5
speckled     11
spotted     7
brown     4
answer     129
stolen     15
ringstraked     7
white     74
fed     31
labans     4
rods     15
poplar     1
hazel     1
chesnut     1
pilled     2
strakes     2
gutters     2
watering     3
troughs     2
conceive     14
whensoever     3
feeble     20
feebler     1
glory     401
power     270
deceived     34
changed     40
rams     77
leaped     8
grisled     4
leap     9
doeth     96
anointedst     1
vowedst     1
inheritance     238
strangers     82
quite     7
devoured     53
riches     98
childrens     18
carried     125
getting     3
shear     4
images     64
stole     5
unawares     12
gilead     97
overtook     9
heed     79
either     41
captives     42
secretly     19
steal     22
mirth     15
songs     20
tabret     4
foolishly     12
doing     38
though     233
longedst     1
force     19
whomsoever     20
findest     2
discern     17
furniture     8
searched     20
displease     5
custom     20
chode     2
trespass     81
hotly     1
whereas     32
stuff     16
ewes     3
torn     17
loss     10
drought     10
frost     6
fourteen     26
except     73
empty     37
labour     89
rebuked     25
heap     38
jegarsahadutha     1
galeed     2
mizpah     21
watch     58
absent     11
harm     15
sacrifice     211
met     43
mahanaim     13
messengers     68
distressed     11
bands     39
company     83
worthy     68
mercies     44
staff     39
deliver     283
lodged     21
present     100
milch     3
colts     3
kine     24
bulls     10
foals     1
foremost     3
meeteth     3
asketh     11
droves     1
appease     1
accept     25
eleven     22
ford     1
jabbok     7
brook     36
breaking     18
hollow     10
joint     4
breaketh     17
israel     2404
dost     54
ask     108
peniel     1
preserved     16
penuel     8
halted     2
sinew     3
shrank     2
handmaids     8
hindermost     2
graciously     4
handmaidens     3
meanest     4
urged     3
knoweth     104
overdrive     1
lead     60
softly     7
endure     29
folk     5
needeth     6
succoth     18
booths     9
shalem     1
shechem     62
parcel     6
hamor     12
shechems     2
erected     1
eleloheisrael     1
defiled     69
commune     8
wrought     96
folly     37
longeth     4
marriages     3
trade     5
possessions     13
never     86
gift     59
deceitfully     11
consent     15
hamors     1
deferred     3
delight     51
honourable     29
peaceable     8
large     21
herein     9
dinahs     1
boldly     13
males     32
edge     55
spoiled     54
wealth     26
ones     79
troubled     67
stink     8
harlot     40
fleddest     2
strange     75
change     26
garments     98
distress     33
earrings     12
oak     15
terror     29
pursue     29
elbethel     1
deborah     10
beneath     28
allonbachuth     1
loins     60
thereon     65
ephrath     5
travailed     5
midwife     3
departing     12
benoni     1
benjamin     162
bethlehem     39
grave     66
beyond     54
edar     1
arbah     1
aholibamah     8
anah     12
zibeon     8
ishmaels     1
eliphaz     15
reuel     10
jeush     8
jaalam     4
korah     26
got     7
edomites     12
teman     11
omar     3
zepho     2
gatam     3
kenaz     11
timna     4
amalek     24
nahath     5
zerah     19
shammah     8
mizzah     3
dukes     15
duke     43
horite     1
inhabited     32
lotan     5
shobal     9
dishon     7
ezer     9
dishan     5
hori     4
hemam     1
lotans     2
alvan     1
manahath     3
ebal     8
shepho     1
onam     4
ajah     1
mules     11
hemdan     1
eshban     2
ithran     3
cheran     2
bilhan     4
zaavan     1
akan     1
aran     2
reigned     128
beor     10
dinhabah     2
bozrah     9
husham     4
temani     1
hadad     14
bedad     2
avith     2
samlah     4
masrekah     2
saul     389
baalhanan     5
achbor     5
pau     1
mehetabel     2
matred     2
mezahab     2
timnah     5
alvah     1
jetheth     2
elah     13
pinon     2
mibzar     2
magdiel     2
iram     2
habitations     20
seventeen     9
feeding     8
report     30
coat     25
colours     12
peaceably     12
binding     5
sheaves     9
sheaf     9
upright     68
obeisance     9
reign     130
dreams     21
moon     49
ourselves     51
observed     10
wandering     6
seekest     9
seek     242
hence     30
dothan     2
conspired     13
dreamer     4
pit     87
rid     6
stript     1
ishmeelites     4
spicery     1
balm     6
myrrh     17
carry     85
conceal     6
content     14
midianites     24
merchantmen     2
rent     55
clothes     91
josephs     22
killed     66
kid     43
dipped     8
doubt     13
sackcloth     43
mourned     22
refused     32
potiphar     2
officer     10
guard     35
adullamite     3
hirah     2
er     11
onan     8
shelah     11
